dataset,accuracy
50words,0.7874
Adiac,0.7564
ArrowHead,0.82
Beef,0.6333
BeetleFly,0.6875
BirdChicken,0.8
CBF,0.9892
Car,0.7875
ChlorineConcentration,0.7604
CinC_ECG_torso,0.9196
Coffee,0.9911
Computers,0.548
Cricket_X,0.6821
Cricket_Y,0.691
Cricket_Z,0.6987
DiatomSizeReduction,0.9306
DistalPhalanxOutlineAgeGroup,0.765
DistalPhalanxOutlineCorrect,0.7421
DistalPhalanxTW,0.7256
ECG200,0.905
ECG5000,0.9261
ECGFiveDays,0.7866
Earthquakes,0.7197
ElectricDevices,0.6066
FISH,0.9086
FaceAll,0.7368
FaceFour,0.9148
FacesUCR,0.8804
FordA,0.8559
FordB,0.8404
Gun_Point,0.9483
Ham,0.55
HandOutlines,0.839
Haptics,0.4026
Herring,0.5195
InlineSkate,0.345
InsectWingbeatSound,0.5203
ItalyPowerDemand,0.9589
LargeKitchenAppliances,0.5287
Lighting2,0.8115
Lighting7,0.7055
MALLAT,0.87
Meat,0.9333
MedicalImages,0.7016
MiddlePhalanxOutlineAgeGroup,0.7431
MiddlePhalanxOutlineCorrect,0.7942
MiddlePhalanxTW,0.5689
MoteStrain,0.85
NonInvasiveFatalECG_Thorax1,0.8083
NonInvasiveFatalECG_Thorax2,0.8375
OSULeaf,0.6994
OliveOil,0.8417
PhalangesOutlinesCorrect,0.7523
Phoneme,0.2844
Plane,0.9738
ProximalPhalanxOutlineAgeGroup,0.8037
ProximalPhalanxOutlineCorrect,0.8256
ProximalPhalanxTW,0.7138
RefrigerationDevices,0.5033
ScreenType,0.4327
ShapeletSim,0.5139
ShapesAll,0.8612
SmallKitchenAppliances,0.6187
SonyAIBORobotSurface,0.8099
SonyAIBORobotSurfaceII,0.8565
StarLightCurves,0.9616
Strawberry,0.9396
SwedishLeaf,0.9172
Symbols,0.9417
ToeSegmentation1,0.7182
ToeSegmentation2,0.7827
Trace,0.9775
TwoLeadECG,0.7583
Two_Patterns,0.9904
UWaveGestureLibraryAll,0.9222
Wine,0.6019
WordsSynonyms,0.7347
Worms,0.529
WormsTwoClass,0.6367
synthetic_control,0.9983
uWaveGestureLibrary_X,0.8117
uWaveGestureLibrary_Y,0.7544
uWaveGestureLibrary_Z,0.7487
wafer,0.9936
yoga,0.8728