dataset,randIndex
50words,0.958
Adiac,0.9668
ArrowHead,0.6181
Beef,0.6687
BeetleFly,0.5143
BirdChicken,0.5134
CBF,0.7507
Car,0.7125
ChlorineConcentration,0.5347
CinC_ECG_torso,0.7483
Coffee,0.8695
Computers,0.5177
Cricket_X,0.8653
Cricket_Y,0.8685
Cricket_Z,0.8657
DiatomSizeReduction,0.9914
DistalPhalanxOutlineAgeGroup,0.7333
DistalPhalanxOutlineCorrect,0.5028
DistalPhalanxTW,0.9
ECG200,0.5738
ECG5000,0.6964
ECGFiveDays,0.5023
Earthquakes,0.5166
ElectricDevices,0.7772
FISH,0.8361
FaceAll,0.926
FaceFour,0.7899
FacesUCR,0.9181
FordA,0.5752
FordB,0.6697
Gun_Point,0.5026
Ham,0.5035
HandOutlines,0.5523
Haptics,0.679
Herring,0.5149
InlineSkate,0.7328
InsectWingbeatSound,0.8625
ItalyPowerDemand,0.5011
LargeKitchenAppliances,0.5726
Lighting2,0.5727
Lighting7,0.8058
MALLAT,0.9774
Meat,0.8089
MedicalImages,0.6713
MiddlePhalanxOutlineAgeGroup,0.7341
MiddlePhalanxOutlineCorrect,0.5008
MiddlePhalanxTW,0.8327
MoteStrain,0.7246
NonInvasiveFatalECG_Thorax1,0.974
NonInvasiveFatalECG_Thorax2,0.978
OSULeaf,0.7562
OliveOil,0.8175
PhalangesOutlinesCorrect,0.5008
Phoneme,0.9331
Plane,0.9993
ProximalPhalanxOutlineAgeGroup,0.7845
ProximalPhalanxOutlineCorrect,0.5318
ProximalPhalanxTW,0.7892
RefrigerationDevices,0.5615
ScreenType,0.5505
ShapeletSim,0.51
ShapesAll,0.9825
SmallKitchenAppliances,0.6157
SonyAIBORobotSurface,0.9514
SonyAIBORobotSurfaceII,0.6749
StarLightCurves,0.761
Strawberry,0.5054
SwedishLeaf,0.9459
Symbols,0.9141
ToeSegmentation1,0.5162
ToeSegmentation2,0.5669
Trace,0.7521
TwoLeadECG,0.5014
Two_Patterns,0.6191
UWaveGestureLibraryAll,0.8253
Wine,0.5198
WordsSynonyms,0.9073
Worms,0.6721
WormsTwoClass,0.5031
synthetic_control,0.9777
uWaveGestureLibrary_X,0.8529
uWaveGestureLibrary_Y,0.8388
uWaveGestureLibrary_Z,0.8359
wafer,0.5511
yoga,0.5003